ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724151803130,1,1,001,000321,202507,,,ミナト・アドバンテスト・テクノロジーズ(株),ミナト・アドバンテスト・テクノロジーズ(株),2371,30,30,20,令和5.6.30,令和5.6.30,令和5.10.31,令和5.10.31,,,,,,3080000,3080000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724151803130,1,2,001,000321,202507,,,ミナト・アドバンテスト・テクノロジーズ(株),ミナト・アドバンテスト・テクノロジーズ(株),2371,30,30,20,令和5.8.31,令和5.8.31,令和5.12.31,令和5.12.31,,,,,,367400,367400,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724151803130,1,3,001,000321,202507,,,サンケン電気(株),サンケン電気(株),2372,30,30,20,令和5.7.31,令和5.7.31,令和5.10.31,令和5.10.31,,,,,,713900,713900,,,,電ペイ,電ペイ,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724151803130,1,4,001,000321,202507,,,岩谷産業(株),岩谷産業(株),2373,30,30,20,令和5.8.31,令和5.8.31,令和6.1.4,令和6.1.4,,,,,,2922920,2922920,,,,電子手形,電子手形,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724151803130,1,5,001,000321,202507,,,岩谷産業(株),岩谷産業(株),2373,30,30,20,令和5.9.29,令和5.9.29,令和6.1.31,令和6.1.31,,,,,,267300,267300,,,,電子手形,電子手形,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724151803130,1,6,001,000321,202507,,,(株)極東商会,(株)極東商会,2374,30,30,20,令和5.5.31,令和5.5.31,令和5.9.30,令和5.9.30,三井住友,三井住友,,上野,上野,493735,493735,,,,YZ20280710/2期日落ち,YZ20280710/2期日落ち,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724151803130,1,7,001,000321,202507,,,(株)極東商会,(株)極東商会,2374,30,30,20,令和5.6.30,令和5.6.30,令和5.10.31,令和5.10.31,三井住友,三井住友,,上野,上野,494934,494934,,,,YZ202830,YZ202830,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724151803130,1,8,001,000321,202507,,,(株)極東商会,(株)極東商会,2374,30,30,20,令和5.8.31,令和5.8.31,令和5.12.31,令和5.12.31,三井住友,三井住友,,上野,上野,119680,119680,,,,ZK202912,ZK202912,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724151803130,1,9,001,000321,202507,,,(株)極東商会,(株)極東商会,2374,30,30,20,令和5.9.29,令和5.9.29,令和6.1.31,令和6.1.31,みずほ,みずほ,,上野,上野,118030,118030,,,,BD040742,BD040742,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724151803130,1,10,001,000321,202507,,,石川サンケン(株),石川サンケン(株),2375,30,30,20,令和5.9.29,令和5.9.29,令和6.1.31,令和6.1.31,,,,,,976800,976800,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
