ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_original,issue_date,due_date_original,due_date,balance_original,balance,paying_bank_name_original,paying_bank_name,paying_bank_branch_name_original,paying_bank_branch_name,discount_bank_name_original,discount_bank_name,description_original,description
20250718121501090,1,1,091,609009,202507,TBK,TBK,127,令和5.4.30,令和5.4.30,令和5.7.31,令和5.7.31,4600205,4600205,横浜,横浜,町田,町田,,,,
20250718121501090,1,2,091,609009,202507,大塚工機,大塚工機,128,令和5.4.30,令和5.4.30,令和5.8.31,令和5.8.31,7000000,7000000,みずほ,みずほ,鶴見,鶴見,,,,
20250718121501090,1,3,091,609009,202507,大塚工機,大塚工機,128,令和5.2.28,令和5.2.28,令和5.6.30,令和5.6.30,1400000,1400000,みずほ,みずほ,鶴見,鶴見,,,,
20250718121501090,1,4,091,609009,202507,大塚工機,大塚工機,128,平成5.3.31,平成5.3.31,平成5.7.31,平成5.7.31,1000000,1000000,みずほ,みずほ,鶴見,鶴見,,,,
20250718121501090,1,5,091,609009,202507,武者工業,武者工業,129,令和5.1.31,令和5.1.31,令和5.5.10,令和5.5.10,400000,400000,みずほ,みずほ,亀戸南,亀戸南,,,,
20250718121501090,1,6,091,609009,202507,武者工業,武者工業,129,令和5.2.28,令和5.2.28,令和5.6.10,令和5.6.10,360000,360000,みずほ,みずほ,亀戸南,亀戸南,,,,
20250718121501090,1,7,091,609009,202507,武者工業,武者工業,129,令和5.3.31,令和5.3.31,令和5.7.10,令和5.7.10,260000,260000,みずほ,みずほ,亀戸南,亀戸南,,,,
20250718121501090,1,8,091,609009,202507,武者工業,武者工業,129,平成5.4.30,平成5.4.30,令和5.8.10,令和5.8.10,360000,360000,みずほ,みずほ,亀戸南,亀戸南,,,,
20250718121501090,1,9,091,609009,202507,関東工業,関東工業,130,令和5.1.31,令和5.1.31,令和5.5.16,令和5.5.16,283844,283844,平塚信用,平塚信用,追分,追分,,,,
20250718121501090,1,10,091,609009,202507,関東工業,関東工業,130,平成5.2.28,平成5.2.28,平成5.6.16,平成5.6.16,280985,280985,平塚信用,平塚信用,追分,追分,,,,
20250718121501090,1,11,091,609009,202507,関東工業,関東工業,130,平成5.3.31,平成5.3.31,平成5.7.16,平成5.7.16,413820,413820,平塚信用,平塚信用,追分,追分,,,,
20250718121501090,1,12,091,609009,202507,関東工業,関東工業,130,平成5.4.30,平成5.4.30,平成5.8.16,平成5.8.16,1314188,1314188,平塚信用,平塚信用,追分,追分,,,,
20250718121501090,1,13,091,609009,202507,久保田工業,久保田工業,131,令和5.4.30,令和5.4.30,令和5.8.31,令和5.8.31,609238,609238,八十二,八十二,箕輪,箕輪,,,,
20250718121501090,1,14,091,609009,202507,河坂製作所,河坂製作所,132,令和5.3.31,令和5.3.31,令和5.7.31,令和5.7.31,1650692,1650692,,,,,,,,
20250718121501090,1,15,091,609009,202507,大塚工機・他,大塚工機・他,133,平成4.2.28,平成4.2.28,平成4.6.30,平成4.6.30,27932397,27932397,みずほ,みずほ,鶴見,鶴見,商工中金横浜西口,商工中金横浜西口,残高証明書記載の通り,残高証明書記載の通り
