ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724151800570,1,1,001,000059,202507,,,セイキ販売(株),セイキ販売(株),2291,30,30,20,R5.2.20,R5.2.20,R5.6.30,R5.6.30,静岡銀行,静岡銀行,,新宿,新宿,180094,180094,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724151800570,1,2,001,000059,202507,,,セイキ販売(株),セイキ販売(株),2291,30,30,20,R5.4.20,R5.4.20,R5.8.31,R5.8.31,静岡銀行,静岡銀行,,新宿,新宿,192060,192060,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724151800570,1,3,001,000059,202507,,,セイキ販売(株),セイキ販売(株),2291,30,30,20,R5.4.17,R5.4.17,R5.8.31,R5.8.31,静岡銀行,静岡銀行,,新宿,新宿,681907,681907,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724151800570,1,4,001,000059,202507,,,セイキ工業(株),セイキ工業(株),2292,30,30,20,R5.1.16,R5.1.16,R5.5.31,R5.5.31,武蔵野銀行,武蔵野銀行,,,,846814,846814,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724151800570,1,5,001,000059,202507,,,セイキ工業(株),セイキ工業(株),2292,30,30,20,R5.2.16,R5.2.16,R5.6.30,R5.6.30,武蔵野銀行,武蔵野銀行,,,,423407,423407,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724151800570,1,6,001,000059,202507,,,(株)フカガワ,(株)フカガワ,2293,30,30,20,R5.1.31,R5.1.31,R5.5.31,R5.5.31,埼玉りそな銀行,埼玉りそな銀行,,西川口,西川口,2747102,2747102,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724151800570,1,7,001,000059,202507,,,(株)フカガワ,(株)フカガワ,2293,30,30,20,R5.1.31,R5.1.31,R5.5.31,R5.5.31,埼玉りそな銀行,埼玉りそな銀行,,西川口,西川口,5000000,5000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724151800570,1,8,001,000059,202507,,,(株)フカガワ,(株)フカガワ,2293,30,30,20,R5.1.31,R5.1.31,R5.5.31,R5.5.31,埼玉りそな銀行,埼玉りそな銀行,,西川口,西川口,10000000,10000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724151800570,1,9,001,000059,202507,,,(株)フカガワ,(株)フカガワ,2293,30,30,20,R5.1.31,R5.1.31,R5.5.31,R5.5.31,埼玉りそな銀行,埼玉りそな銀行,,西川口,西川口,30000000,30000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724151800570,1,10,001,000059,202507,,,(株)フカガワ,(株)フカガワ,2293,30,30,20,R5.3.3,R5.3.3,R5.6.30,R5.6.30,埼玉りそな銀行,埼玉りそな銀行,,西川口,西川口,1703266,1703266,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
