ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724151803160,1,1,001,000324,202507,,,TOTO北海道販売(株),TOTO北海道販売(株),2251,30,30,20,R.5.1.20,R.5.1.20,R.5.5.20,R.5.5.20,三井住友,三井住友,,北九州,北九州,336662,336662,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724151803160,1,2,001,000324,202507,,,TOTO北海道販売(株),TOTO北海道販売(株),2251,30,30,20,R.5.2.20,R.5.2.20,R.5.6.20,R.5.6.20,三井住友,三井住友,,北九州,北九州,263554,263554,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724151803160,1,3,001,000324,202507,,,TOTO北海道販売(株),TOTO北海道販売(株),2251,30,30,20,R.5.3.20,R.5.3.20,R.5.7.20,R.5.7.20,三井住友,三井住友,,北九州,北九州,518906,518906,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724151803160,1,4,001,000324,202507,,,日東物産(株),日東物産(株),2252,30,30,20,R.5.1.20,R.5.1.20,R.5.4.30,R.5.4.30,中国,中国,,岡山流通センター,岡山流通センター,1837418,1837418,きらぼし御徒町,きらぼし御徒町,,割引,割引,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724151803160,1,5,001,000324,202507,,,日東物産(株),日東物産(株),2252,30,30,20,R.5.2.20,R.5.2.20,R.5.5.31,R.5.5.31,中国,中国,,岡山流通センター,岡山流通センター,192522,192522,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724151803160,1,6,001,000324,202507,,,日東物産(株),日東物産(株),2252,30,30,20,R.5.3.15,R.5.3.15,R.5.6.30,R.5.6.30,中国,中国,,岡山流通センター,岡山流通センター,359370,359370,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724151803160,1,7,001,000324,202507,,,(株)バイタルシステム,(株)バイタルシステム,2253,30,30,20,R.4.11.30,R.4.11.30,R.5.4.5,R.5.4.5,城北信金,城北信金,,赤羽西口,赤羽西口,311630,311630,セブン産業(株),セブン産業(株),,裏書譲渡,裏書譲渡,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724151803160,1,8,001,000324,202507,,,(株)バイタルシステム,(株)バイタルシステム,2253,30,30,20,R.4.12.31,R.4.12.31,R.5.5.5,R.5.5.5,城北信金,城北信金,,赤羽西口,赤羽西口,1886104,1886104,セブン産業(株),セブン産業(株),,裏書譲渡,裏書譲渡,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724151803160,1,9,001,000324,202507,,,(株)バイタルシステム,(株)バイタルシステム,2253,30,30,20,R.5.1.31,R.5.1.31,R.5.6.5,R.5.6.5,城北信金,城北信金,,赤羽西口,赤羽西口,624140,624140,セブン産業(株),セブン産業(株),,裏書譲渡,裏書譲渡,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724151803160,1,10,001,000324,202507,,,(株)バイタルシステム,(株)バイタルシステム,2253,30,30,20,R.5.3.31,R.5.3.31,R.5.8.5,R.5.8.5,城北信金,城北信金,,赤羽西口,赤羽西口,1205050,1205050,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
