ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724151803310,1,1,001,000339,202507,,,(株)ジェイ・エム・エス広島本社,(株)ジェイ・エム・エス広島本社,2104,30,30,20,R5.6.26,R5.6.26,R5.10.25,R5.10.25,もみじ銀行本店営業部,もみじ銀行本店営業部,,もみじ銀行本店営業部,もみじ銀行本店営業部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724151803310,1,2,001,000339,202507,,,ビー・エル・オートテック(株),ビー・エル・オートテック(株),2105,30,30,20,R5.6.26,R5.6.26,R5.10.25,R5.10.25,三井住友銀行神戸営業部,三井住友銀行神戸営業部,,三井住友銀行神戸営業部,三井住友銀行神戸営業部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724151803310,1,3,001,000339,202507,,,住友精密工業(株),住友精密工業(株),2106,30,30,20,R5.6.30,R5.6.30,R5.10.31,R5.10.31,三井住友銀行大阪本店営業部,三井住友銀行大阪本店営業部,,三井住友銀行大阪本店営業部,三井住友銀行大阪本店営業部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724151803310,1,4,001,000339,202507,,,住友精密工業(株),住友精密工業(株),2106,30,30,20,R5.6.30,R5.6.30,R5.10.31,R5.10.31,三井住友銀行大阪本店営業部,三井住友銀行大阪本店営業部,,三井住友銀行大阪本店営業部,三井住友銀行大阪本店営業部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724151803310,1,5,001,000339,202507,,,住友精密工業(株),住友精密工業(株),2106,30,30,20,R5.6.30,R5.6.30,R5.10.31,R5.10.31,三井住友銀行大阪本店営業部,三井住友銀行大阪本店営業部,,三井住友銀行大阪本店営業部,三井住友銀行大阪本店営業部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724151803310,1,6,001,000339,202507,,,極東産機(株),極東産機(株),2108,30,30,20,R5.5.20,R5.5.20,R5.7.10,R5.7.10,広島銀行福山営業本部,広島銀行福山営業本部,,広島銀行福山営業本部,広島銀行福山営業本部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724151803310,1,7,001,000339,202507,,,藤田金属(株),藤田金属(株),2701,30,30,20,R5.2.20,R5.2.20,R5.7.16,R5.7.16,広島銀行福山営業本部,広島銀行福山営業本部,,広島銀行福山営業本部,広島銀行福山営業本部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724151803310,1,8,001,000339,202507,,,(株)タカトリ,(株)タカトリ,2109,30,30,20,R5.3.17,R5.3.17,R5.7.20,R5.7.20,広島銀行福山営業本部,広島銀行福山営業本部,,広島銀行福山営業本部,広島銀行福山営業本部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724151803310,1,9,001,000339,202507,,,(株)アルバック,(株)アルバック,2103,30,30,20,R5.5.18,R5.5.18,R5.7.20,R5.7.20,広島銀行福山営業本部,広島銀行福山営業本部,,広島銀行福山営業本部,広島銀行福山営業本部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724151803310,1,10,001,000339,202507,,,島津プレシジョンテクノロジー(株),島津プレシジョンテクノロジー(株),2957,30,30,20,R5.3.27,R5.3.27,R5.7.25,R5.7.25,広島銀行福山営業本部,広島銀行福山営業本部,,広島銀行福山営業本部,広島銀行福山営業本部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
20250724151803310,1,11,001,000339,202507,,,島津産機システムス(株),島津産機システムス(株),2110,30,30,20,R5.3.31,R5.3.31,R5.7.31,R5.7.31,広島銀行福山営業本部,広島銀行福山営業本部,,広島銀行福山営業本部,広島銀行福山営業本部,20241016161306000,20241016161306000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,11,,,testuser
