ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724112703590,1,1,001,003019,202507,,,(株)不動テトラ,(株)不動テトラ,2660,30,30,20,令和5.2.28,令和5.2.28,令和5.5.31,令和5.5.31,三井住友信託銀行,三井住友信託銀行,,三井住友信託銀行,三井住友信託銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724112703590,1,2,001,003019,202507,,,(株)不動テトラ,(株)不動テトラ,2660,30,30,20,令和5.3.31,令和5.3.31,令和5.6.30,令和5.6.30,三井住友信託銀行,三井住友信託銀行,,三井住友信託銀行,三井住友信託銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724112703590,1,3,001,003019,202507,,,古谷建設(株),古谷建設(株),2767,30,30,20,令和5.4.20,令和5.4.20,令和5.6.20,令和5.6.20,京葉銀行,京葉銀行,,京葉銀行,京葉銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724112703590,1,4,001,003019,202507,,,三井住友建設(株),三井住友建設(株),2644,30,30,20,令和5.3.6,令和5.3.6,令和5.5.5,令和5.5.5,三井住友銀行,三井住友銀行,,三井住友銀行,三井住友銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724112703590,1,5,001,003019,202507,,,三井住友建設(株),三井住友建設(株),2644,30,30,20,令和5.3.6,令和5.3.6,令和5.5.5,令和5.5.5,三井住友銀行,三井住友銀行,,三井住友銀行,三井住友銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724112703590,1,6,001,003019,202507,,,三井住友建設(株),三井住友建設(株),2644,30,30,20,令和5.3.6,令和5.3.6,令和5.5.5,令和5.5.5,三井住友銀行,三井住友銀行,,三井住友銀行,三井住友銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724112703590,1,7,001,003019,202507,,,三井住友建設(株),三井住友建設(株),2644,30,30,20,令和5.4.5,令和5.4.5,令和5.6.5,令和5.6.5,三井住友銀行,三井住友銀行,,三井住友銀行,三井住友銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724112703590,1,8,001,003019,202507,,,三井住友建設(株),三井住友建設(株),2644,30,30,20,令和5.4.5,令和5.4.5,令和5.6.5,令和5.6.5,三井住友銀行,三井住友銀行,,三井住友銀行,三井住友銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724112703590,1,9,001,003019,202507,,,三井住友建設(株),三井住友建設(株),2644,30,30,20,令和5.4.5,令和5.4.5,令和5.6.5,令和5.6.5,三井住友銀行,三井住友銀行,,三井住友銀行,三井住友銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724112703590,1,10,001,003019,202507,,,三井住友建設鉄構エンジニアリング(株),三井住友建設鉄構エンジニアリング(株),2768,30,30,20,令和5.1.13,令和5.1.13,令和5.5.15,令和5.5.15,百十四銀行,百十四銀行,,百十四銀行,百十四銀行,,20240928125704000,,,,でんさい,でんさい,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
