振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
内田板金,,,,,1,,備忘価額
日本プラント,,,,,1,,備忘価額
キシザキ工業,,,,,1,,備忘価額
よねや旅館,,,,,1,,備忘価額
保電気工業,,,,,1,,備忘価額
扇町工芸,,,,,1,,備忘価額
ハリマ電気,,,,,1,,備忘価額
青葉電機,,,,,1,,備忘価額
清電社,,,,,1,,備忘価額
不渡手形計,,,,,10,,
日本電設工業(株),R3・10・11,R4・2・10,,,"1,139,600",常陽銀行仙台支店,割引電子記録債権
(株)中北電機,R3・10・29,R4・2・28,,,"1,839,526",七十七銀行六丁目支店,割引電子記録債権
日本電設工業(株),R3・11・10,R4・3・10,,,"1,559,250",常陽銀行仙台支店,割引電子記録債権
(株)日設,R3・11・25,R4・3・25,,,"464,200",七十七銀行六丁目支店,割引電子記録債権
ホーチキ(株),R3・11・26,R4・3・28,,,"1,045,550",七十七銀行六丁目店店,割引電子記録債権
(株)中北電機,R3・11・30,R4・3・31,,,"1,127,808",七十七銀行六丁目支店,割引電子記録債権
日本電設工業(株),R3・12・10,R4・4・11,,,"1,113,200",常陽銀行仙台支店,割引電子記録債権
(株)弘電社,R3・12・15,R4・4・15,,,"616,000",七十七銀行六丁目支店,割引電子記録債権
ホーチキ(株),R3・12・27,R4・4・28,,,"106,150",七十七銀行六丁目支店,割引電子記録債権
(株)中北電機,R3・12・30,R4・4・30,,,"1,104,658",七十七銀行六丁目支店,割引電子記録債権
(株)ユアテック,R3・12・28,R4・5・2,,,"320,000",七十七銀行六丁目支店,割引電子記録債権
日本電設工業(株),R4・1・11,R4・5・10,,,"1,869,450",常陽銀行仙台支店,割引電子記録債権
計,,,,,,,
