"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"弘前バッテリー社","4・1・22","4・5・31","","","125840","",""
"仙北電装","4・1・22","4・6・30","","","507351","",""
"大館自動車部品商会","4・1・26","4・4・30","","","141878","仙台銀行",""
"八戸電機商会","4・1・27","4・4・30","","","140580","仙台銀行",""
"太洋自動車工業MK電装商事","4・1・28","4・4・30","","","780349","仙台銀行",""
"三菱ふそうトラック・バス大和田電装","4・1・28","4・5・20","","","340085","",""
"住友建機販売新英商事","4・1・28","4・5・25","","","276122","",""
"寒河江重車輛新英商事","4・1・28","4・5・31","","","243700","",""
"羽田電工業所","4・1・31","4・5・31","","","1110073","",""
"石井電装サービス","4・2・1","4・5・1","","","155317","",""
"","4・2・4","4・6・2","","","203822","",""
"小笠原電装","4・2・9","4・8・31","","","327284","",""
"秋田重車輛","4・2・10","4・5・31","","","140051","",""
"アサノ電装","4・2・15","4・5・31","","","667376","",""
"岩手自動車電機","4・2・17","4・5・20","","","686838","",""
"佐藤電機工業","4・2・17","4・5・31","","","371132","",""
"青森重工上北電機商会","4・2・18","4・5・20","","","394086","",""
"上北電機商会","4・2・18","4・5・31","","","807239","",""
"守友電装","4・2・18","4・5・31","","","674698","",""
"河田電機","4・2・18","4・6・10","","","500000","",""
"守友電装","4・2・18","4・6・30","","","797143","",""
"仙北電装","4・2・21","4・7・31","","","587666","",""
"奥羽ダイキンロジテス第一電装商事","4・2・25","4・5・10","","","306911","",""
"計","","","","","","",""
