file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)大創出版,東京都豊島区巣鴨1丁目4番7号MKビル4F,51435956,,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)スタディカンパニー,東京都杉並区阿佐谷南3-35-19,36506705,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)インプレス,東京都千代田区神田神保町1-105神保町ミツイビルディング22F,13213544,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)医学出版,東京都文京区本郷3-16-6-802,9506712,,,,,,,,,,,,,,,,
,,,5,〃,〃,(株)文響社,東京都港区虎ノ門2-2-5共同通信会館9F,9088126,,,,,,,,,,,,,,,,
,,,6,〃,〃,放送大学学園,千葉県千葉市美浜区若葉2-11,6160000,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)エミル出版,東京都千代田区飯田橋2-8-1,5183366,,,,,,,,,,,,,,,,
,,,8,〃,〃,(有)ルネッサンスアイ,東京都文京区本郷2-25-6,4975849,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)改良園,埼玉県川口市大字神戸123,4721011,,,,,,,,,,,,,,,,
,,,10,〃,〃,(株)好文出版,東京都新宿区早稲田鶴巻町540林ビル3階,4387417,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)好学出版,東京都新宿区払方町14-1,3373568,,,,,,,,,,,,,,,,
,,,12,〃,〃,協友印刷(株),東京都新宿区榎町10-3市川製本所ビル2階,3309460,,,,,,,,,,,,,,,,
,,,13,〃,〃,ネットスクール出版(株),東京都千代田区神思錦町3-23メットライフ神田錦町ビル3階,2504694,,,,,,,,,,,,,,,,
,,,14,〃,〃,冬水印刷(株),東京都中央区銀座2-14-10,2337963,,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)昌鶴堂,東京都北区東十条3-1-11,2121428,,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)G.B.,東京都千代田区飯田橋4-1-5ボザール飯田橋,1793215,,,,,,,,,,,,,,,,
,,,17,〃,〃,(株)アルス工房,千葉県習志野市津田沼1-5-5-409,1694016,,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)本の泉社,東京都文京区本郷2-25-6,1413929,,,,,,,,,,,,,,,,
,,,19,〃,〃,凸版印刷(株),東京都文京区水道1-3-3,1401403,,,,,,,,,,,,,,,,
,,,20,〃,〃,カーネル(株),東京都品川区南大井3-26-52階,1249757,,,,,,,,,,,,,,,,
,,,21,〃,〃,(株)金剛出版,東京都文京区水道1-15-16升本ビル,1221203,,,,,,,,,,,,,,,,
,,,22,〃,〃,(有)鴻盟社,東京都港区白金1-1-21階,1113806,,,,,,,,,,,,,,,,
,,,23,〃,〃,(有)萌文社,東京都千代田区富士見1-2-32東京ルーテルセンタービル202号,1113806,,,,,,,,,,,,,,,,
,,,24,〃,〃,瀬味証券印刷(株),千代田区五番町3番地1五番町グランドビル8F,1083524,,,,,,,,,,,,,,,,
,,,25,〃,〃,(株)共立プランニング,東京都千代田区九段南4-8-30アルス市ヶ谷7F,1082015,,,,,,,,,,,,,,,,
,,,26,〃,〃,とりい書房(有),東京都中野区弥生町2-13-9,1037700,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
