ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,691292,202507,科目,科目,,名称(氏名),名称(氏名),所在地(住所),所在地(住所),,,期末現在高,期末現在高,摘要,摘要,,
,,2,000,691292,202507,売掛金,売掛金,,(株)エコー電機製作所,(株)エコー電機製作所,東大阪市中野南2-6,東大阪市中野南2-6,,,1855778,1855778,,,,
,,3,000,691292,202507,売掛金,売掛金,,ビニターホールディングス,ビニターホールディングス,大阪市天王寺区上汐6-3-12,大阪市天王寺区上汐6-3-12,,,1850908,1850908,,,,
,,4,000,691292,202507,売掛金,売掛金,,三田機械(株),三田機械(株),神奈川県横浜市都筑区南山田町4144,神奈川県横浜市都筑区南山田町4144,,,1822792,1822792,,,,
,,5,000,691292,202507,売掛金,売掛金,,(株)ダイウレ,(株)ダイウレ,大東市御領4-3-11,大東市御領4-3-11,,,1813349,1813349,,,,
,,6,000,691292,202507,売掛金,売掛金,,平和機械(株),平和機械(株),東大阪市高井田西2-6-18,東大阪市高井田西2-6-18,,,1800822,1800822,,,,
,,7,000,691292,202507,売掛金,売掛金,,オツカ工業(株),オツカ工業(株),大阪市生野区小路東5-20-4,大阪市生野区小路東5-20-4,,,1723966,1723966,,,,
,,8,000,691292,202507,売掛金,売掛金,,(株)シンクスコーポレーション,(株)シンクスコーポレーション,神奈川県愛甲郡愛川町中津桜台4057-2,神奈川県愛甲郡愛川町中津桜台4057-2,,,1626480,1626480,,,,
,,9,000,691292,202507,売掛金,売掛金,,(株)ナチ常磐,(株)ナチ常磐,東京都港区東新橋1-9-2汐留住友ヒN17F,東京都港区東新橋1-9-2汐留住友ヒN17F,,,1554952,1554952,,,,
,,10,000,691292,202507,売掛金,売掛金,,白石電機工業(株),白石電機工業(株),大東市新田旭町1-18,大東市新田旭町1-18,,,1419660,1419660,,,,
,,11,000,691292,202507,売掛金,売掛金,,オリエンタル機電(株),オリエンタル機電(株),大阪市中央区南船場4-6-10,大阪市中央区南船場4-6-10,,,1365541,1365541,,,,
,,12,000,691292,202507,売掛金,売掛金,,ミナト医科学(株),ミナト医科学(株),大阪市淀川区新北野3-13-11,大阪市淀川区新北野3-13-11,,,1355717,1355717,,,,
,,13,000,691292,202507,売掛金,売掛金,,エヌピー食品(株),エヌピー食品(株),大阪市中央区徳井町2-4-143F,大阪市中央区徳井町2-4-143F,,,1309333,1309333,,,,
,,14,000,691292,202507,売掛金,売掛金,,神戸電機産業(株),神戸電機産業(株),兵庫県明石市大久保町江井島875-1,兵庫県明石市大久保町江井島875-1,,,1290766,1290766,,,,
,,15,000,691292,202507,売掛金,売掛金,,(株)エスエムケイ,(株)エスエムケイ,神奈川県相模原市緑区橋本台2-10-5,神奈川県相模原市緑区橋本台2-10-5,,,1263461,1263461,,,,
,,16,000,691292,202507,売掛金,売掛金,,川上産業(株),川上産業(株),八尾市南木の本2-7-1,八尾市南木の本2-7-1,,,1102889,1102889,,,,
,,17,000,691292,202507,売掛金,売掛金,,(株)tank,(株)tank,大阪府八尾市南木の本9-80-2,大阪府八尾市南木の本9-80-2,,,1026740,1026740,,,,
,,18,000,691292,202507,売掛金,売掛金,,(株)エムアンドエヌ,(株)エムアンドエヌ,神奈川県相模原市中火区田名3312,神奈川県相模原市中火区田名3312,,,996558,996558,,,,
,,19,000,691292,202507,売掛金,売掛金,,(株)西田秀鉄工所,(株)西田秀鉄工所,東大阪市渋川町2-4-27,東大阪市渋川町2-4-27,,,951244,951244,,,,
,,20,000,691292,202507,売掛金,売掛金,,(有)小木曽工業,(有)小木曽工業,八尾市南木の本9-129,八尾市南木の本9-129,,,935957,935957,,,,
,,21,000,691292,202507,売掛金,売掛金,,(株)西野鉄工,(株)西野鉄工,東大阪市加納4-15-22,東大阪市加納4-15-22,,,913856,913856,,,,
,,22,000,691292,202507,売掛金,売掛金,,ユタニ工業(株),ユタニ工業(株),東大阪市稲田新町2-32-18,東大阪市稲田新町2-32-18,,,908196,908196,,,,
,,23,000,691292,202507,売掛金,売掛金,,(株)辰巳エヤーエンジニアング,(株)辰巳エヤーエンジニアング,東大阪市水走2-14-15,東大阪市水走2-14-15,,,875819,875819,,,,
,,24,000,691292,202507,売掛金,売掛金,,SPKエンジニアリング(株),SPKエンジニアリング(株),東大阪市高井田16-20,東大阪市高井田16-20,,,856656,856656,,,,
,,25,000,691292,202507,売掛金,売掛金,,協和精工(株),協和精工(株),東大阪市弥生町3-20,東大阪市弥生町3-20,,,843468,843468,,,,
,,26,000,691292,202507,売掛金,売掛金,,(株)アイ・エス,(株)アイ・エス,豊中市利倉2-5-4,豊中市利倉2-5-4,,,826549,826549,,,,
,,27,000,691292,202507,売掛金,売掛金,,(株)大和,(株)大和,八尾市老原3-70,八尾市老原3-70,,,799843,799843,,,,
,,28,000,691292,202507,合計,合計,,,,,,,,,,,,,
